number,name,status
0,Implicit Namespace Packages,Final
8,"Add monotonic time, performance counter, and process time functions",Final
7,Including mock in the Standard Library,Final
5,Implement context suppression with exception attributes,Final
3,Flexible String Representation,Final
4,Explicit Unicode Literal for Python 3.3,Final
9,Suppressing exception context,Final
2,Key-Sharing Dictionary,Final
3,Non-decodable Bytes in System Character Interfaces,Final
7,Python launcher for Windows,Final
1,Dictionary-Based Configuration For Logging,Final
1,Addition of the multiprocessing package to the standard library,Final
4,Defining a Stable ABI,Final
0,Syntax for Delegating to a Subgenerator,Final
8,Format Specifier for Thousands Separator,Final
2,Adding an ordered dictionary to collections,Final
3,Using ssize_t as the index type,Final
9,argparse - New Command Line Parsing Module,Final
0,Per user site-packages directory,Final
6,Database of Installed Python Distributions,Final
2,Function Signature Object,Final
8,The “bytes” Object,Final
7,Allowing Any Object to be Used for Slicing,Final
2,Required Superclass for Exceptions,Final
8,Imports: Multi-Line and Absolute/Relative,Final
6,Main module explicit relative imports,Final
3,The “with” Statement,Final
2,Coroutines via Enhanced Generators,Final
1,Unifying try-except and try-finally,Final
4,subprocess - New process module,Final
1,Locale-Independent Float/String Conversions,Final
8,Executing modules as scripts,Final
7,Decimal Data Type,Final
2,Reverse Iteration,Final
8,Decorators for Functions and Methods,Final
1,Simplified Global Interpreter Lock Acquisition for Extensions,Final
9,Partial Function Application,Final
8,Conditional Expressions,Final
3,Codec Error Handling Callbacks,Final
7,Extensions to the pickle protocol,Final
2,Simpler String Substitutions,Final
5,CSV File API,Final
2,New Import Hooks,Final
1,Package Index and Metadata for Distutils,Final
5,Adding a bool type,Final
9,Generator Expressions,Final
9,The enumerate() built-in function,Final
2,A Logging System,Final
8,Universal Newline Support,Final
7,Unicode file name support for Windows NT,Final
4,Future statements in simulated shells,Final
3,Import Modules from Zip Archives,Final
3,Defining Python Source Code Encodings,Final
1,Support for “wide” Unicode characters,Final
0,Simplify xrange(),Final
4,Dict Comprehensions,Final
5,Simple Generators,Final
2,Making Types Look More Like Classes,Final
6,Back to the __future__,Final
3,Subtyping Built-in Types,Final
4,Iterators,Final
0,Using site-packages on Windows,Final
